지점,지점명,일시,평균기온(°C)
108,서울,2002-01,.3
108,서울,2002-02,2.9
108,서울,2002-03,7.6
108,서울,2002-04,13.6
108,서울,2002-05,18.2
108,서울,2002-06,22.2
108,서울,2002-07,25.2
108,서울,2002-08,24.2
108,서울,2002-09,21.6
108,서울,2002-10,12.8
108,서울,2002-11,4
108,서울,2002-12,1.7
108,서울,2003-01,-2.5
108,서울,2003-02,2.7
108,서울,2003-03,6.5
108,서울,2003-04,13.2
108,서울,2003-05,19.6
108,서울,2003-06,21.5
108,서울,2003-07,23.8
108,서울,2003-08,24.1
108,서울,2003-09,20.9
108,서울,2003-10,13.9
108,서울,2003-11,9.5
108,서울,2003-12,.7
108,서울,2004-01,-1.5
108,서울,2004-02,2.3
108,서울,2004-03,6.3
108,서울,2004-04,13.1
108,서울,2004-05,17.6
108,서울,2004-06,23.2
108,서울,2004-07,24.8
108,서울,2004-08,26.1
108,서울,2004-09,21.7
108,서울,2004-10,15.2
108,서울,2004-11,9.1
108,서울,2004-12,1.9
108,서울,2005-01,-2.5
108,서울,2005-02,-1.9
108,서울,2005-03,4.1
108,서울,2005-04,13.2
108,서울,2005-05,17.7
108,서울,2005-06,22.7
108,서울,2005-07,25.3
108,서울,2005-08,25.1
108,서울,2005-09,21.8
108,서울,2005-10,14.7
108,서울,2005-11,8.6
108,서울,2005-12,-3.9
108,서울,2006-01,-.2
108,서울,2006-02,.1
108,서울,2006-03,5.2
108,서울,2006-04,11.6
108,서울,2006-05,18.4
108,서울,2006-06,21.8
108,서울,2006-07,23.1
108,서울,2006-08,27
108,서울,2006-09,21.1
108,서울,2006-10,17.9
108,서울,2006-11,8.4
108,서울,2006-12,1.4
108,서울,2007-01,.4
108,서울,2007-02,4
108,서울,2007-03,6.1
108,서울,2007-04,11.4
108,서울,2007-05,18.1
108,서울,2007-06,23.2
108,서울,2007-07,24.2
108,서울,2007-08,26.5
108,서울,2007-09,21.5
108,서울,2007-10,15.1
108,서울,2007-11,6.7
108,서울,2007-12,1.8
108,서울,2008-01,-1.7
108,서울,2008-02,-1.2
108,서울,2008-03,7.3
108,서울,2008-04,14.1
108,서울,2008-05,17.7
108,서울,2008-06,21.5
108,서울,2008-07,25.1
108,서울,2008-08,25.3
108,서울,2008-09,22
108,서울,2008-10,16.1
108,서울,2008-11,7.6
108,서울,2008-12,1.1
108,서울,2009-01,-2
108,서울,2009-02,2.9
108,서울,2009-03,6
108,서울,2009-04,12.7
108,서울,2009-05,19.1
108,서울,2009-06,22.4
108,서울,2009-07,24.3
108,서울,2009-08,25.7
108,서울,2009-09,21.8
